Command;Category
show mmol|protein <fasta> | '<pdb_id>';Macromolecules
openad;General
get status;General
display history ;General
clear sessions;General
set workspace <workspace_name>;Workspaces
get workspace [ <workspace_name> ];Workspaces
create workspace <workspace_name> [ description('<description>') on path '<path>' ];Workspaces
remove workspace <workspace_name> ;Workspaces
list workspaces;Workspaces
set context <toolkit_name> [ reset ];Toolkits
create run;Runs
remove run <run_name>;Runs
save run as <run_name>;Runs
run <run_name>;Runs
list runs;Runs
display run <run_name>;Runs
display data '<filename.csv>';Utility
result save [as '<filename.csv>'];Utility
result open;Utility
result edit;Utility
result copy;Utility
result display;Utility
result as dataframe;Utility
edit config '<json_config_file>' [ schema '<schema_file>'];Utility
launch gui;GUI
restart gui;GUI
quit gui;GUI
tell me <how to do xyz>;LLM
set llm  <language_model_name>;LLM
clear llm auth;LLM
list files [ path ];File System
import '<file_path>';File System
move '<source_file>' to '<destination_path>' [ force ];File System
copy '<source_file>' to '<destination_path>' [ force ];File System
remove '<filename>';File System
open '<filename>';File System
show '<filename>';File System
intro;Help
docs;Help
?;Help
? ...<soft>   --> List all commands containing "..."</soft>;Help
... ?<soft>   --> List all commands starting with "..."</soft>;Help
model auth list;Model
model auth add group <auth_group> with '<auth_token>';Model
model auth remove group <auth_group>;Model
model auth add service <service_name> to group <auth_group>;Model
model auth remove service <service_name>;Model
model service status;Model
model service describe <service_name>;Model
model catalog list;Model
uncatalog model service <service_name>;Model
catalog model service from [ remote ] '<path>|<github>|<service_url>' as <service_name> USING (<parameter>=<value> <parameter>=<value>);Model
model service up <service_name> [ no_gpu ];Model
model service local up <service_name> [ no_gpu ];Model
model service down <service_name>;Model
get model service <service_name> result '<result_id>';Model
